anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,164,Rock'n'Roll-Juniors,Final,1,149,CO,1.07,2.0,0.535,"[10.0, 9.0, 12.0, 11.0, 11.0, 12.0]"
,164,Rock'n'Roll-Juniors,Final,1,149,FM,0.93,2.0,0.465,"[6.5, 6.5, 8.5, 7.5, 7.5, 9.0]"
,164,Rock'n'Roll-Juniors,Final,1,149,FW,8.04,14.4,0.5583333333333332,"[-25.0, -35.0, -15.0, -25.0, -25.0, -10.0]"
,164,Rock'n'Roll-Juniors,Final,1,149,sm,1.53,2.3,0.6652173913043479,"[0.0, -2.0, 0.0, -4.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,1,149,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,DF,0.5,2.3,0.2173913043478261,"[13.0, 12.0, 13.0, 12.0, 13.0, 12.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,CO,0.82,2.0,0.41,"[14.0, 13.0, 12.0, 13.0, 14.0, 12.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,FM,0.24,2.0,0.12,"[8.5, 8.5, 8.5, 8.5, 9.0, 9.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,FW,4.49,14.4,0.31180555555555556,"[-15.0, -25.0, -15.0, -15.0, -15.0, -10.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,sm,1.0,2.3,0.4347826086956522,"[0.0, 0.0, -2.0, -2.0, 0.0, -2.0]"
,164,Rock'n'Roll-Juniors,Final,2,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,3,78,DF,0.96,2.3,0.4173913043478261,"[12.0, 12.0, 10.0, 13.0, 11.0, 11.0]"
,164,Rock'n'Roll-Juniors,Final,3,78,CO,1.11,2.0,0.555,"[12.0, 10.0, 11.0, 12.0, 10.0, 9.0]"
,164,Rock'n'Roll-Juniors,Final,3,78,FM,0.5,2.0,0.25,"[8.5, 7.5, 7.5, 8.5, 7.5, 8.5]"
,164,Rock'n'Roll-Juniors,Final,3,78,FW,5.59,14.4,0.3881944444444444,"[-15.0, -15.0, -25.0, -15.0, -25.0, -10.0]"
,164,Rock'n'Roll-Juniors,Final,3,78,sm,0.75,2.3,0.32608695652173914,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,3,78,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,4,491,DF,1.11,2.3,0.482608695652174,"[15.0, 14.0, 13.0, 15.0, 16.0, 13.0]"
,164,Rock'n'Roll-Juniors,Final,4,491,CO,1.37,2.0,0.685,"[15.0, 13.0, 15.0, 17.0, 15.0, 13.0]"
,164,Rock'n'Roll-Juniors,Final,4,491,FM,0.34,2.0,0.17,"[9.0, 8.5, 9.0, 9.0, 9.5, 9.5]"
,164,Rock'n'Roll-Juniors,Final,4,491,FW,2.89,14.4,0.20069444444444445,"[-10.0, -15.0, -10.0, -10.0, -10.0, -5.0]"
,164,Rock'n'Roll-Juniors,Final,4,491,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,4,491,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Juniors,Final,5,155,DF,2.13,2.3,0.9260869565217391,"[6.0, 7.0, 7.0, 9.0, 7.0, 2.0]"
,164,Rock'n'Roll-Juniors,Final,5,155,CO,1.95,2.0,0.975,"[5.0, 8.0, 10.0, 9.0, 5.0, 6.0]"
,164,Rock'n'Roll-Juniors,Final,5,155,FM,0.56,2.0,0.28,"[5.0, 5.0, 5.0, 6.5, 5.0, 5.0]"
,164,Rock'n'Roll-Juniors,Final,5,155,FW,7.07,14.4,0.49097222222222225,"[-50.0, -50.0, -35.0, -35.0, -50.0, -50.0]"
,164,Rock'n'Roll-Juniors,Final,5,155,sm,1.0,2.3,0.4347826086956522,"[0.0, -2.0, 0.0, -2.0, -2.0, 0.0]"
